patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
75a66981-4104-48b5-a34d-b7c5760debbb,Nam Dương,980155448161,13/04/2001,0599360290,johnduong@example.com,"JanePhường
43 Dương Ngõ, 348728",Khỏe mạnh,8.25,Khoa Phú Hoàng,23/02/2026
fa5a91ca-059d-455d-8b94-3e30b303f438,Hạnh Văn Hoàng,385794833355,24/08/1998,0313994322,hoangjane@example.com,"5 John Khu
Thành phố JohnHuyện, 926918",Huyết áp cao,8.36,Ông Nhiên Đặng,12/05/2026
53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Bảo Hoàng Lê,411630233921,28/11/1992,0728117647,jane24@example.com,"JaneThành phố
236 Trần Số, 114594",Khỏe mạnh,8.7,Tùng Trần,23/03/2026
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Hải Phú Trần,625534419474,03/10/1984,0367296154,nnguyen@example.net,"1 Vũ Số
Quận JohnThành phố, 419149",Tiểu đường,4.03,Ông Tú Phạm,09/06/2026
5efa9c5b-7421-4f46-a37e-4b0122bae10e,Khoa Trí Bùi,626496749066,21/04/1983,0767031276,ahoang@example.com,"773 Trần Tổ
JohnThị xã, 389282",Huyết áp cao,7.06,Cô Ánh Dương,17/01/2026
98de8ebb-a3b5-4ece-a446-be72364c911a,Ngọc Đặng,849382184190,10/04/1953,0516327134,johntran@example.net,"529 Jane Hẻm
Huyện JohnThành phố, 793169",Tiểu đường,8.91,Lan Nguyễn,06/03/2026
52e2afd9-96bf-40ab-bce9-15e7c9d6a63b,Lan Vũ,722591063208,27/04/1939,0569460457,hmai@example.net,"89 Jane Làng
Huyện JanePhường, 132663",Tim mạch,11.74,Chi Bùi,18/03/2026
e8e22743-b65f-4ea9-bd82-42641ba362e7,Ông Vũ Đặng,104577436392,25/11/1979,0526620458,lejane@example.net,"98 Dương Số
Thành phố JohnThị xã, 573489",Huyết áp cao,9.05,Quý cô Linh Dương,13/03/2026
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Anh Phú Lê,821893038725,19/08/1985,0929158865,ftran@example.org,"5 John Tổ
Thị xã JanePhường, 886730",Tiểu đường,9.24,Nhật Thị Vũ,19/04/2026
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Chị Dương Dương,480586439359,12/11/1951,0703706779,dangjane@example.org,"89 Jane Đường
Huyện JaneHuyện, 468074",Tim mạch,3.85,Lan Lê,12/04/2026
bdb025ff-2451-45a4-91d0-59b26699cd99,Hương Mai,287127457704,14/03/1951,0330952890,vduong@example.org,"9 John Hẻm
Thành phố JohnHuyện, 564637",Huyết áp cao,7.61,Nhật Mai Bùi,19/02/2026
585d3f86-1d23-44e6-8329-20b7c143f426,Hà Thế Hoàng,359697905535,07/01/1971,0321858069,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Tim mạch,8.24,Chị Kim Mai,07/05/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,268417483411,04/05/1967,0508153463,utran@example.net,"6 Trần Số
Huyện JohnXã, 582446",Tiểu đường,4.85,Vũ Bảo Trần,13/02/2026
1422373f-8622-48d1-a683-e10796c044d0,Hạnh Tấn Phạm,870599295259,22/10/1959,0829519409,johnmai@example.net,"52 John Hẻm
JohnQuận, 731661",Tiểu đường,8.66,Cô Bảo Dương,25/03/2026
72eb7474-9458-454e-8287-4f069050f7ef,Dũng Trí Dương,465754599304,23/06/1940,0560793981,yvu@example.com,"1 Dương Dãy
Thành phố JaneHuyện, 180458",Tim mạch,10.38,Khoa Hoàng,02/04/2026
f4488385-8de7-4d6c-9490-77c27674456f,Chi Hoàng,181925562520,29/01/1983,0587139018,jane82@example.org,"1 John Làng
JaneXã, 648141",Tiểu đường,5.27,Bà Thành Vũ,11/03/2026
990f0c5b-adcc-4daf-969f-3ab3c6435300,Vi Đặng,009262008190,21/04/1940,0973741381,maijane@example.com,"19 Jane Khu
JohnXã, 843266",Huyết áp cao,5.85,Hạnh Mai,09/03/2026
20b71785-d02c-40c1-9417-0a17caaa5bbe,Hải Bùi,925312760114,12/08/1972,0778937129,dangjane@example.org,"33 John Ngõ
JohnXã, 908320",Tim mạch,5.68,Dương Đặng,07/06/2026
6070b6a1-98e5-4499-a18c-6e1c9e374f7a,Chị Bảo Hoàng,460965935441,22/07/1994,0724205229,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Tim mạch,10.82,Quý ông Khoa Bùi,01/04/2026
d11fc8c0-297c-44ff-b75d-599f6b2d5b09,Chị Ánh Vũ,834416813720,21/04/1939,0897061168,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Huyết áp cao,8.75,Bác Nam Bùi,10/01/2026
62dbc850-3c5b-43a7-9fbb-f0b1808389c8,Thành Phạm,043537600001,20/07/1937,0577846185,dangjohn@example.org,"2 Dương Đường
Thành phố JaneQuận, 975522",Khỏe mạnh,3.92,Quý cô Hà Vũ,12/02/2026
6b79afcc-3d0a-4f0c-8c39-4ec71f317405,Ông Tú Dương,525144496812,21/01/1979,0546113537,maijohn@example.net,"953 Lê Ngõ
JohnXã, 670511",Tiểu đường,8.61,Hồng Dương,08/01/2026
40ef3935-5f90-4ed6-bb25-664d630aa767,Linh Trần,325554851330,30/08/1960,0523118625,hoangjane@example.org,"2 Dương Hẻm
Thành phố JaneThành phố, 407696",Tiểu đường,5.13,Cô Vi Phạm,09/06/2026
83f02dc7-4f61-4217-aef1-669450cae32d,Phương Mai Bảo Vũ,025836495948,02/03/1938,0902867016,janedang@example.org,"15 Bùi Dãy
JaneQuận, 620306",Huyết áp cao,11.96,Bác Minh Vũ,25/05/2026
6e3c4532-1434-4f62-acac-028cba220065,Bà Thành Trần,027362270474,03/05/1941,0520881692,jane79@example.net,"70 Hoàng Số
JohnThành phố, 803787",Khỏe mạnh,9.54,Thành Xuân Nguyễn,26/01/2026
702c1821-c804-4fb7-ad97-3b679b89e5cb,Lan Trần,545811216542,20/09/1952,0582366430,jane69@example.org,"57 John Tổ
JanePhường, 392227",Khỏe mạnh,11.0,Cô Ngọc Lê,31/03/2026
1e2595b8-8fc9-486b-a9dd-ebf563119aca,Anh Dương,942769928823,27/02/1951,0394321915,jane31@example.org,"715 Trần Khu
JohnPhường, 844031",Tiểu đường,4.53,Bà Phương Phạm,22/01/2026
3c9abe10-238d-4f44-8ac4-d0eb3373730e,Ông Quang Mai,286584834528,09/04/1977,0965680138,imai@example.net,"67 Bùi Ngõ
Huyện JohnThị xã, 588461",Khỏe mạnh,10.08,Hoàng Xuân Lê,19/03/2026
d4d60735-0e2f-4958-9e43-1e06e9247069,Phương Lê,006935927175,11/09/1957,0934303723,janepham@example.com,"438 Lê Khu
Quận JohnQuận, 790731",Tim mạch,10.74,Nhiên Thị Nguyễn,15/01/2026
93a74792-c561-48dc-a436-4fcdf2d3f761,Trung Hoàng,786599999969,26/11/1965,0744129022,duongjane@example.net,"647 John Hẻm
JaneThị xã, 587002",Huyết áp cao,10.4,Bà Duyên Lê,26/02/2026
fcef1972-bbf4-43ce-91be-b80eb7e6a14c,Thành Trí Đặng,144463397025,01/02/1973,0356015640,dangjohn@example.com,"210 Bùi Số
Quận JaneXã, 856157",Tiểu đường,7.88,Trung Xuân Dương,29/06/2026
4efc8248-e10b-4a47-bfae-b7487781321e,Ông Vũ Bùi,728848105412,23/05/1972,0913282397,johnhoang@example.com,"97 Mai Đường
Thị xã JohnHuyện, 862847",Huyết áp cao,6.91,Thành Phú Nguyễn,14/03/2026
5cce5ba9-31d4-4e09-8fd3-3afc91fdfa4f,Vũ Bùi,590245386410,21/04/1972,0770073179,john21@example.com,"5 John Số
Thành phố JohnQuận, 848255",Tim mạch,5.86,Châu Mai Lê,20/04/2026
ee6e2e72-53f5-41dc-a3c8-afdb83f82f16,Phúc Hữu Hoàng,321568480271,19/06/1989,0850686884,jane88@example.net,"05 Trần Số
JohnXã, 597643",Huyết áp cao,5.6,Nhiên Hoàng,10/02/2026
2ba6adb3-7afe-4114-9561-c8130d259caa,Bảo Hải Nguyễn,768151135735,17/04/1977,0382334701,phamjohn@example.com,"36 Nguyễn Hẻm
Huyện JaneXã, 495129",Khỏe mạnh,11.17,Phúc Mai Mai,03/03/2026
de1e994a-c5a1-4f5c-ad05-b9125ab28d4a,Trọng Dương,648558333475,12/07/1949,0881276160,janemai@example.com,"37 Dương Tổ
JaneThành phố, 701334",Tim mạch,10.44,Kim Phú Lê,22/02/2026
143b45e3-b6d1-46bb-b48f-709c49a22441,Bảo Đức Dương,304840738863,11/02/1951,0751977920,jane21@example.net,"083 John Ngõ
JanePhường, 595351",Tim mạch,10.41,Hải Lê,01/01/2026
286ed390-edd9-4a1a-ba58-5b278ce3e7c3,Hải Mai Bảo Dương,477503421454,25/12/1982,0567121320,jane40@example.org,"0 Jane Hẻm
Thị xã JaneQuận, 885386",Khỏe mạnh,6.23,Hưng Nguyễn,23/02/2026
fba57cc8-edaf-4766-9b78-0ede9a4ffc0c,Khoa Mai Mai,761599416174,08/10/1973,0949672391,janevu@example.org,"742 Jane Khu
Quận JaneThị xã, 640310",Huyết áp cao,10.9,Vũ Hữu Trần,03/02/2026
ef9240b6-52d7-4f10-ba3a-6e9623ff23d3,Cô Thảo Bùi,225693818809,07/09/1952,0853555585,jane49@example.net,"5 John Ngõ
JaneQuận, 525110",Huyết áp cao,8.16,Tú Vũ,08/03/2026
22319050-f515-4494-b818-cfd33889936a,Anh Bảo Hoàng,089247191887,08/10/1962,0928727516,zmai@example.net,"9 Jane Tổ
Thành phố JohnXã, 630041",Khỏe mạnh,3.85,Chị Lan Đặng,03/06/2026
3495311e-ae27-4432-9dc1-e7eb711c7673,Ông Minh Dương,177510054396,12/07/1994,0502105340,gle@example.com,"7 Nguyễn Số
JohnPhường, 328486",Tiểu đường,6.17,An Bùi,04/03/2026
0f6ce9bf-fe7e-4362-8a89-b0f0105291d3,Nhật Nguyễn,330562440641,13/06/1956,0890691523,johnbui@example.com,"JaneThị xã
825 John Số, 654531",Tim mạch,5.04,Chị An Nguyễn,26/06/2026
8b60c511-b816-4aeb-ac6a-7c8576876c62,Phương Hữu Phạm,697265199071,24/07/1953,0982083951,john43@example.net,"6 John Làng
Thành phố JohnThị xã, 726822",Huyết áp cao,7.54,Mai Nguyễn,14/03/2026
c11f6bf5-379e-4467-8a2d-b2e63bfda8a6,Lan Mai,358741220730,08/01/2008,0844439125,janehoang@example.net,"428 Jane Khu
JohnXã, 720407",Khỏe mạnh,10.37,Quý cô Phương Dương,09/01/2026
abdd1a8f-a4b0-4c89-b10b-ce9c582b91ee,Phương Tấn Bùi,986977554121,18/04/1965,0774312780,jane28@example.com,"27 Jane Số
Thị xã JohnHuyện, 313214",Tim mạch,11.91,Vũ Mai Đặng,17/01/2026
0d31812e-30c3-4756-9453-f867b97e6224,Thành Hoàng,457417916049,05/07/1979,0928126704,phamjohn@example.com,"03 John Dãy
Quận JaneQuận, 678897",Huyết áp cao,4.7,Khoa Hữu Dương,07/04/2026
5c11ab6d-42f5-43f5-8ef4-c34d5bf86f3c,Quý ông Tú Dương,124284437342,04/02/1991,0832816477,john55@example.com,"2 Jane Số
JohnQuận, 445888",Tiểu đường,6.21,Quý cô Duyên Phạm,31/03/2026
566a9ce7-af52-4b94-b186-e47aa7946320,Châu Dương,203767574802,18/02/1969,0333560171,john28@example.com,"0 John Đường
JohnPhường, 342675",Khỏe mạnh,11.31,Nhật Lê,02/01/2026
0f79a8a7-5f8a-44bd-b4bd-0c938177b661,Quý ông Nam Nguyễn,581672233426,06/05/1974,0714622436,bnguyen@example.net,"862 John Hẻm
Quận JaneHuyện, 380310",Tim mạch,7.39,Hà Phú Bùi,24/03/2026
39d1c7ff-b27e-4442-bd7f-e9733e42df5b,Vũ Nguyễn,817338897756,27/04/1942,0351230548,jbui@example.com,"2 Jane Số
JohnXã, 144618",Tim mạch,9.67,Chị Xuân Hoàng,27/03/2026
af36b8cc-1308-4974-ac95-b3ac0beb7c34,Tùng Hoàng,616657624049,15/07/1983,0367873728,janenguyen@example.org,"429 Jane Tổ
JohnPhường, 859340",Tiểu đường,7.73,Phương Đặng,10/01/2026
1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Trọng Hữu Đặng,895742045726,27/08/1937,0308801683,jane73@example.com,"29 Trần Khu
Thành phố JohnHuyện, 261712",Khỏe mạnh,5.23,Nhật Trí Bùi,27/02/2026
f165d779-0154-4950-976d-e21f1b46ebdc,Bảo Đặng,419676693202,27/01/1991,0376206799,lejohn@example.org,"015 Jane Số
Huyện JaneThị xã, 917018",Tiểu đường,9.91,Nhật Mai,12/06/2026
85671b58-926b-4fa5-be24-5fbffa698cd2,Quý cô Bảo Lê,358927777659,15/02/1955,0529251834,jane21@example.org,"71 Vũ Làng
JohnThị xã, 212168",Tiểu đường,4.56,Bà An Bùi,01/03/2026
dcb9075e-cdd7-4460-a140-77d39ec4ea48,Bảo Tấn Bùi,078248877631,09/01/1995,0575533685,janedang@example.net,"52 Đặng Khu
JohnHuyện, 494322",Tiểu đường,5.42,Thành Đặng,21/01/2026
ff4cc10f-979c-40cf-b326-1887905881df,Cô Nhật Dương,730894627423,01/05/2004,0522858973,janevu@example.net,"7 Jane Làng
JohnPhường, 543681",Huyết áp cao,5.63,Hà Mai Hoàng,28/03/2026
ec6a37ad-81b1-4db9-88cc-4d49669b29b8,Phương Thị Đặng,512620300521,18/09/1986,0522107672,tranjohn@example.net,"9 Jane Tổ
JohnThành phố, 203396",Tiểu đường,7.28,Quang Mai,15/05/2026
9342a09f-b00a-464c-949c-d8d48ed8a80d,Quý cô Linh Bùi,824713006199,19/04/1969,0563099016,janenguyen@example.com,"125 Đặng Dãy
Thị xã JaneThị xã, 202365",Khỏe mạnh,5.93,Quý ông Dũng Trần,24/02/2026
05c8234b-1d76-4a66-b5f5-9cb0cf685878,Tú Xuân Phạm,170580150278,28/02/1973,0568883067,janemai@example.com,"22 Bùi Đường
Thị xã JaneThị xã, 104666",Tiểu đường,5.64,Chị Thảo Trần,14/04/2026
2fdc9992-8971-4eea-9f3a-098accac2fb5,Dũng Hoàng Dương,799249257863,24/10/1943,0550858398,omai@example.com,"1 Đặng Dãy
Huyện JohnPhường, 240454",Khỏe mạnh,9.81,Tú Hải Vũ,22/01/2026
82c56b21-2430-42da-b185-0eb85f90fc87,Kim Trí Hoàng,210371591291,04/07/1963,0721622645,janemai@example.net,"2 Vũ Hẻm
Huyện JaneXã, 156215",Tiểu đường,10.72,Nam Mai Bảo Lê,05/02/2026
816462cb-8fc3-47d3-b6bd-80c7624a2a50,Quý ông Châu Bùi,478819275185,03/05/1987,0815369162,kduong@example.org,"04 Jane Hẻm
JaneXã, 635618",Tiểu đường,8.05,Khoa Trần,18/02/2026
5deaa737-fdab-4441-92c2-a9608b0901ab,Vi Dương,736141224812,18/05/1975,0518511197,vtran@example.net,"745 Jane Ngõ
Quận JanePhường, 739905",Tim mạch,5.1,Bảo Trí Phạm,27/05/2026
59cf0b0d-91f0-447d-8f32-1333ce315937,Trọng Mai,159672032469,14/10/1947,0729978885,jane94@example.net,"Quận JaneThành phố
2 John Hẻm, 845951",Tiểu đường,4.9,Quang Hữu Dương,26/01/2026
6a0aa7d5-a0b8-4755-84ca-a5a2a1e518a2,Nhật Quang Trần,760462531623,25/11/1964,0846612290,jane77@example.com,"7 Trần Số
Thị xã JohnThị xã, 381581",Tiểu đường,8.83,Khoa Tấn Mai,15/04/2026
c9ce44bd-7c3f-4add-9a38-5db590eeb067,Hưng Thị Trần,789432005030,16/03/1981,0975810811,hnguyen@example.org,"32 Lê Khu
Huyện JaneThành phố, 489906",Tim mạch,7.84,Cô Kim Vũ,11/05/2026
a7cde143-6de2-4429-bbf0-d9c1c156e501,Nhật Trần,394119294499,28/07/1935,0787886380,itran@example.net,"051 Lê Dãy
Quận JaneThành phố, 866260",Huyết áp cao,11.49,Hà Đặng,08/03/2026
c601818b-61fa-41ba-a31a-e7c74c9bff5c,Chị Hà Mai,124168718655,12/08/1976,0344226802,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Tim mạch,4.08,Hoàng Hải Vũ,27/04/2026
999a1d86-99db-4302-8dab-66d33f87dfc2,Nam Vũ,083226035287,29/06/1950,0358396019,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Khỏe mạnh,11.69,Thành Xuân Dương,21/06/2026
965d744f-0445-41a8-92af-97e4c536c66e,An Vũ,558941029206,30/03/1951,0819792440,buijane@example.net,"61 Jane Ngõ
JohnXã, 313068",Tiểu đường,10.64,Bà Kim Hoàng,25/04/2026
a4a5c736-ae59-4a52-a65b-e22bd5a386d9,Hạnh Bùi,594658632978,12/10/1988,0317950193,johnpham@example.org,"99 Jane Hẻm
Thành phố JohnPhường, 111901",Huyết áp cao,10.85,Quý cô Thành Mai,04/04/2026
2abe1585-425e-4259-b884-16d2d28fcf68,Hoàng Đức Trần,291437746453,23/10/1991,0907429155,dangjane@example.com,"9 Jane Dãy
JohnThị xã, 694423",Huyết áp cao,3.79,Bà Bảo Vũ,20/05/2026
b90800f3-ac93-481a-92eb-eab0e4eec67c,Lâm Mai,629597664470,06/09/1935,0368301404,phamjohn@example.com,"086 Jane Làng
JaneHuyện, 966120",Tiểu đường,8.82,Khoa Đặng,22/01/2026
2de982f8-0d7b-4c04-a6e5-9b32ac5f12ef,Cô Hồng Trần,877577063448,08/07/1999,0988642782,jane51@example.net,"494 Jane Tổ
JohnPhường, 673108",Khỏe mạnh,7.53,Chị Ngọc Bùi,05/01/2026
d6ee526b-a2cd-4590-98af-393c8aa2b4c9,Linh Nguyễn,430638124516,24/11/1990,0366746726,gvu@example.org,"70 Jane Ngõ
Quận JanePhường, 490586",Huyết áp cao,10.23,Ông Nhiên Trần,01/04/2026
13281726-64f4-44d6-91e9-1691a3209116,Hồng Lê,709669958715,11/10/1952,0315025441,jane65@example.com,"329 John Ngõ
Thị xã JaneHuyện, 526259",Tim mạch,4.5,Phương Đặng,23/06/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Tú Trần,245895729592,31/12/1946,0891489560,john35@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Khỏe mạnh,11.0,Cô Chi Trần,25/05/2026
0fc98d2e-030f-4be9-9f17-8f9323c97a1e,Chị Mai Bùi,473916898169,01/09/1962,0849871331,hoangjane@example.org,"721 Trần Đường
JohnQuận, 701761",Tim mạch,7.87,Nhật Hữu Dương,06/01/2026
5a9c0679-2c3d-47e2-ad39-da75aee70ab2,Chị Thảo Vũ,460354392461,20/01/1968,0950202723,johnhoang@example.net,"68 Nguyễn Ngõ
JaneQuận, 539599",Tim mạch,4.16,Chị Dương Mai,24/05/2026
b69f75c5-c82b-41be-a1eb-64e6fd498e20,Châu Mai Bảo Đặng,432271674614,13/02/2002,0361464331,jane42@example.org,"407 Hoàng Làng
Thành phố JohnPhường, 352867",Huyết áp cao,7.05,Tùng Nguyễn,18/05/2026
d8b48ead-9360-4edf-b82b-5b86f2a32efd,Thành Xuân Lê,806546736484,05/10/1952,0823299209,jane90@example.net,"3 Mai Khu
Thị xã JohnThành phố, 158896",Tiểu đường,7.0,Chị Ngọc Mai,28/03/2026
